strain, stress
0.0363, 0.0257
0.0635, 0.0385
0.0888, 0.0513
0.116, 0.0641
0.149, 0.0812
0.181, 0.0940
0.214, 0.109
0.245, 0.124
0.261, 0.132
0.277, 0.143
0.296, 0.149
0.314, 0.158
0.346, 0.179
0.374, 0.194
0.397, 0.209
0.421, 0.224
0.444, 0.241
0.470, 0.261
0.495, 0.286
0.520, 0.308
0.549, 0.342
0.580, 0.381
0.607, 0.419
0.631, 0.454
0.656, 0.497
0.680, 0.544
0.705, 0.596
0.725, 0.643
0.741, 0.686
0.758, 0.736
0.774, 0.781
0.787, 0.828
0.805, 0.884
0.819, 0.940
0.832, 0.996
0.842, 1.04
0.855, 1.10
0.870, 1.17
