strain, stress
0.0344, 0.0103
0.0952, 0.0226
0.145, 0.0308
0.182, 0.0370
0.219, 0.0432
0.264, 0.0514
0.315, 0.0565
0.362, 0.0637
0.418, 0.0699
0.452, 0.0760
0.494, 0.0822
0.563, 0.0904
0.605, 0.0966
0.653, 0.103
0.700, 0.112
0.753, 0.119
0.796, 0.127
0.843, 0.135
0.899, 0.146
0.949, 0.158
0.996, 0.168
1.04, 0.180
1.10, 0.197
1.14, 0.210
1.19, 0.230
1.24, 0.249
1.29, 0.269
1.33, 0.294
1.37, 0.311
1.41, 0.337
1.46, 0.370
1.50, 0.404
1.53, 0.434
1.56, 0.460
1.61, 0.498
1.65, 0.534
1.69, 0.573
1.72, 0.606
